Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SG,"Sirius International Insurance Group, Ltd.",16,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/sg
SGA,"Saga Communications, Inc.",37.17,220279381.6,n/a,n/a,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/sga
SGB,Southwest Georgia Financial Corporation,22.88,58247354.88,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sgb
SGBX,"SG Blocks, Inc.",4,17040164,n/a,2017,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/sgbx
SGC,"Superior Group of Companies, Inc.",18.975,290536490.5,n/a,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/sgc
SGEN,"Seattle Genetics, Inc.",60.57,9700036436,n/a,2001,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/sgen
SGH,"SMART Global Holdings, Inc.",29.65,670254498.2,n/a,2017,Technology,Semiconductors,https://www.nasdaq.com/symbol/sgh
SGLB,"Sigma Labs, Inc.",1.7889,14756151.31,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/sglb
SGLBW,"Sigma Labs, Inc.",0.4482,0,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/sglbw
SGMA,"SigmaTron International, Inc.",4.2855,18127699.28,n/a,1994,Technology,Electrical Products,https://www.nasdaq.com/symbol/sgma
SGMO,"Sangamo Therapeutics, Inc.",13.63,1385813308,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/sgmo
SGMS,Scientific Games Corp,26.7,2441051959,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/sgms
SGOC,"SGOCO Group, Ltd",0.95,23601828.5,n/a,2010,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/sgoc
